property,top-5,mean-prob
square,there simple good real free,0.017546772584319116
warm,there simple good real free,0.017546772584319116
black,there simple good real free,0.017546772584319116
red,there simple good real free,0.017546772584319116
fly,"is vs itself ' """,0.03175751380622387
dangerous,there simple good real free,0.017546772584319116
wings,changed evolved grown disappeared developed,0.09442916475236415
sweet,there simple good real free,0.017546772584319116
hot,there simple good real free,0.017546772584319116
used_in_cooking,describe mean say do prove,0.10116278864443302
juicy,there simple good real free,0.017546772584319116
green,there simple good real free,0.017546772584319116
made_of_wood,matter nothing it concrete time,0.021526722609996794
blue,there simple good real free,0.017546772584319116
yellow,there simple good real free,0.017546772584319116
roll,"is vs itself ' """,0.03175751380622387
female,itself up promise it that,0.1513981282711029
cold,there simple good real free,0.017546772584319116
round,there simple good real free,0.017546772584319116
wheels,changed evolved grown disappeared developed,0.09442916475236415
lay_eggs,foundation waste low claim ahead,0.05595481507480145
swim,"is vs itself ' """,0.03175751380622387
